date_collection,colony_of_origin,age,ID,GCMS_ID_head,GCMS_ID_abdomen,treatment,groupID,in_groupID,isoID,number_honeypots,number_eggCells,number_eggs,wing_1_mc_length,wing_2_mc_length,ovary_1_length,ovary_1_width,ovary_2_length,ovary_2_width,notes,sample_prep_notes,GCMS_Run_ID_head,GCMS_Run_ID_abdomen,,GCMS_batch,notes
09.OCT.24,exile,7d,CUT-27,CUT-27_head,CUT-27_abdomen,group,5,1,NA,4,1,0,2.084,2.208,1.612,0.664,1.432,0.707,,,,,,,
09.OCT.24,exile,7d,CUT-28,CUT-28_head,CUT-28_abdomen,group,5,2,NA,4,1,0,2.548,2.512,1.796,0.62,2.227,0.626,,,,,,,
09.OCT.24,exile,7d,CUT-29,CUT-29_head,CUT-29_abdomen,group,5,3,NA,4,1,0,2.509,2.527,2.572,0.741,2.194,0.704,,,,,,,
09.OCT.24,exile,7d,CUT-30,CUT-30_head,CUT-30_abdomen,group,5,4,NA,4,1,0,2.36,2.363,1.591,0.697,2.213,0.744,,,,,,,
09.OCT.24,exile,7d,CUT-31,CUT-31_head,CUT-31_abdomen,iso,NA,NA,3,0,0,0,2.676,2.651,1.119,0.441,1.217,0.467,,,,,,,
09.OCT.24,exile,7d,CUT-32,CUT-32_head,CUT-32_abdomen,iso,NA,NA,4,0,0,0,2.562,2.564,0.835,0.346,0.775,0.333,,,,,,,
09.OCT.24,bios,7d,CUT-33,CUT-33_head,CUT-33_abdomen,group,1,1,NA,3,5,4,2.494,2.507,2.813,0.842,2.898,0.94,,,,,,,
09.OCT.24,bios,7d,CUT-34,CUT-34_head,CUT-34_abdomen,group,1,2,NA,3,5,4,2.387,2.405,2.304,0.692,2.7,0.875,,,,,,,
09.OCT.24,bios,7d,CUT-35,CUT-35_head,CUT-35_abdomen,group,1,3,NA,3,5,4,2.623,2.604,2.748,0.894,3.103,1.004,,,,,,,
09.OCT.24,bios,7d,CUT-36,CUT-36_head,CUT-36_abdomen,group,1,4,NA,3,5,4,2.708,2.734,1.874,0.655,1.61,0.728,,,,,,,
09.OCT.24,bios,7d,CUT-37,CUT-37_head,CUT-37_abdomen,iso,NA,NA,2,0,0,0,2.577,2.552,0.832,0.326,0.932,0.287,,,,,,,
09.OCT.24,bios,7d,CUT-38,CUT-38_head,CUT-38_abdomen,group,2,1,NA,0,0,0,2.423,2.305,1.119,0.441,1.246,0.502,,,,,,,
09.OCT.24,bios,7d,CUT-39,CUT-39_head,CUT-39_abdomen,group,2,2,NA,0,0,0,2.384,2.405,1.627,0.541,1.147,0.539,,,,,,,
09.OCT.24,bios,7d,CUT-40,CUT-40_head,CUT-40_abdomen,group,2,3,NA,0,0,0,2.151,2.184,1.093,0.422,0.962,0.377,,,,,,,
09.OCT.24,bios,7d,CUT-41,CUT-41_head,CUT-41_abdomen,group,2,4,NA,0,0,0,2.048,2.019,1.205,0.478,1.107,0.536,,,,,,,
09.OCT.24,bios,7d,CUT-42,CUT-42_head,CUT-42_abdomen,group,3,1,NA,3,1,0,2.664,2.561,1.633,0.53,1.776,0.466,,,,,,,
09.OCT.24,bios,7d,CUT-43,CUT-43_head,CUT-43_abdomen,group,3,2,NA,3,1,0,2.613,2.572,1.863,0.604,1.943,0.614,,,,,,,
09.OCT.24,bios,7d,CUT-44,CUT-44_head,CUT-44_abdomen,group,3,3,NA,3,1,0,2.511,2.437,1.489,0.481,1.066,0.512,,,,,,,
09.OCT.24,bios,7d,CUT-45,CUT-45_head,CUT-45_abdomen,group,3,4,NA,3,1,0,2.645,2.629,1.496,0.626,1.522,0.519,,,,,,,
09.OCT.24,bios,7d,CUT-46,CUT-46_head,CUT-46_abdomen,iso,NA,NA,3,0,0,0,2.544,2.558,1.014,0.367,1.011,0.38,,,,,,,
14.OCT.24,bios,7d,CUT-47,CUT-47_head,CUT-47_abdomen,group,4,1,NA,4,3,7,3.177,3.092,2.864,0.802,2.564,0.89,,,,,,,
14.OCT.24,bios,7d,CUT-48,CUT-48_head,CUT-48_abdomen,group,4,2,NA,4,3,7,2.869,2.753,3.038,0.988,2.937,0.874,,,,,,,
14.OCT.24,bios,7d,CUT-49,CUT-49_head,CUT-49_abdomen,group,4,3,NA,4,3,7,2.92,2.962,1.924,0.763,1.836,0.688,,,,,,,
14.OCT.24,bios,7d,CUT-50,CUT-50_head,CUT-50_abdomen,group,4,4,NA,4,3,7,2.66,2.637,2.81,0.845,2.768,0.854,,,,,,,
14.OCT.24,bios,7d,CUT-51,CUT-51_head,CUT-51_abdomen,iso,NA,NA,4,0,0,0,2.67,2.649,1.038,0.352,0.972,0.431,,,,,,,
14.OCT.24,exile,7d,CUT-52,CUT-52_head,CUT-52_abdomen,group,5,1,NA,4,5,5,2.811,2.874,2.924,0.933,2.981,0.784,,,,,,,
14.OCT.24,exile,7d,CUT-53,CUT-53_head,CUT-53_abdomen,group,5,2,NA,4,5,5,2.747,2.702,2.946,0.901,2.882,0.737,,,,,,,
14.OCT.24,exile,7d,CUT-54,CUT-54_head,CUT-54_abdomen,group,5,3,NA,4,5,5,2.746,2.744,2.77,0.755,2.527,0.725,,,,,,,
14.OCT.24,exile,7d,CUT-55,CUT-55_head,CUT-55_abdomen,group,5,4,NA,4,5,5,2.44,2.424,2.411,0.774,2.729,0.772,,,,,,,
14.OCT.24,drago,7d,CUT-56,CUT-56_head,CUT-56_abdomen,iso,NA,NA,4,0,0,0,2.678,2.67,1.269,0.423,0.909,0.458,,,,,,,
15.OCT.24,drago,7d,CUT-57,CUT-57_head,CUT-57_abdomen,group,2,1,NA,3,8,10,2.852,2.847,2.726,0.855,2.624,0.734,,,,,,,used blue mounting putty for shaping
15.OCT24,drago,7d,CUT-58,CUT-58_head,CUT-58_abdomen,group,2,2,NA,3,8,10,2.965,2.945,2.776,1.06,2.387,0.82,,,,,,,used blue mounting putty for shaping
15.OCT.24,drago,7d,CUT-59,CUT-59_head,CUT-59_abdomen,group,2,3,NA,3,8,10,2.974,2.949,3.061,0.732,2.825,0.759,,,,,,,used blue mounting putty for shaping
15.OCT.24,drago,7d,CUT-60,CUT-60_head,CUT-60_abdomen,group,2,4,NA,3,8,10,2.958,2.986,2.772,0.86,2.883,0.991,,,,,,,used blue mounting putty for shaping
15.OCT.24,bios,7d,CUT-61,CUT-61_head,CUT-61_abdomen,group,5,1,NA,0,1,0,2.892,2.842,1.889,0.488,1.607,0.566,,,,,,,
15.OCT.24,bios,7d,CUT-62,CUT-62_head,CUT-62_abdomen,group,5,2,NA,0,1,0,2.974,2.97,1.626,0.735,1.591,0.746,,,,,,,
15.OCT.24,bios,7d,CUT-63,CUT-63_head,CUT-63_abdomen,group,5,3,NA,0,1,0,2.863,2.86,2.291,0.551,1.835,0.66,,,,,,,
15.OCT.24,bios,7d,CUT-64,CUT-64_head,CUT-64_abdomen,group,5,4,NA,0,1,0,2.959,2.913,1.932,0.559,1.606,0.61,,,,,,,
15.OCT.24,bios,7d,CUT-65,CUT-65_head,CUT-65_abdomen,iso,NA,NA,5,0,0,0,2.857,2.868,1.28,0.386,1.166,0.427,,,,,,,
15.OCT.24,exile,7d,CUT-66,CUT-66_head,CUT-66_abdomen,iso,NA,NA,5,0,1,0,2.861,2.795,1.624,0.759,1.353,0.473,,,,,,,
15.OCT.24,exile,7d,CUT-67,CUT-67_head,CUT-67_abdomen,group,6,1,NA,3,4,2,2.653,2.632,2.742,0.841,2.585,0.834,,,,,,,
15.OCT.24,exile,7d,CUT-68,CUT-68_head,CUT-68_abdomen,group,6,2,NA,3,4,2,2.735,2.585,2.893,0.738,3.053,0.906,,,,,,,
15.OCT.24,exile,7d,CUT-69,CUT-69_head,CUT-69_abdomen,group,6,3,NA,3,4,2,2.888,2.963,1.715,0.729,2.258,0.729,,,,,,,
15.OCT.24,exile,7d,CUT-70,CUT-70_head,CUT-70_abdomen,group,6,4,NA,3,4,2,2.735,2.713,2.902,0.847,2.945,0.796,,,,,,,
15.OCT.24,drago,7d,CUT-71,CUT-71_head,CUT-71_abdomen,iso,NA,NA,5,0,0,0,3.012,2.947,1.01,0.347,0.976,0.384,,,,,,,
16.OCT.24,bios,7d,CUT-72,CUT-72_head,CUT-72_abdomen,group,6,1,NA,5,1,0,2.881,2.87,2.455,0.836,2.708,0.862,,,,,,,
16.OCT.24,bios,7d,CUT-73,CUT-73_head,CUT-73_abdomen,group,6,2,NA,5,1,0,2.581,2.578,1.642,0.539,1.363,0.659,,,,,,,
16.OCT.24,bios,7d,CUT-74,CUT-74_head,CUT-74_abdomen,group,6,3,NA,5,1,0,2.675,2.702,2.53,0.698,2.289,0.668,,,,,,,
16.OCT.24,bios,7d,CUT-75,CUT-75_head,CUT-75_abdomen,group,6,4,NA,5,1,0,2.699,2.716,1.046,0.431,0.965,0.332,,,,,,,
16.OCT.24,bios,7d,CUT-76,CUT-76_head,CUT-76_abdomen,iso,NA,NA,6,0,0,0,2.926,2.922,0.876,0.395,1.122,0.359,,,,,,,
16.OCT.24,exile,7d,CUT-77,CUT-77_head,CUT-77_abdomen,group,7,1,NA,4,3,0,2.453,2.428,2.343,0.729,1.799,0.716,,,,,,,
16.OCT.24,exile,7d,CUT-78,CUT-78_head,CUT-78_abdomen,group,7,2,NA,4,3,0,2.639,2.587,2.557,0.781,2.799,0.919,,,,,,,
16.OCT.24,exile,7d,CUT-79,CUT-79_head,CUT-79_abdomen,group,7,3,NA,4,3,0,2.47,2.477,1.613,0.607,1.807,0.496,,,,,,,
16.OCT.24,exile,7d,CUT-80,CUT-80_head,CUT-80_abdomen,group,7,4,NA,4,3,0,2.558,2.532,1.85,0.709,2.228,0.664,,,,,,,
16.OCT.24,exile,7d,CUT-81,CUT-81_head,CUT-81_abdomen,iso,NA,NA,6,0,0,0,2.847,2.793,0.934,0.429,0.829,0.345,,,,,,,
16.OCT.24,exile,7d,CUT-82,CUT-82_head,CUT-82_abdomen,iso,NA,NA,7,0,0,0,2.525,2.535,0.784,0.371,0.924,0.328,,,,,,,
17.OCT.24,bios,7d,CUT-83,CUT-83_head,CUT-83_abdomen,iso,NA,NA,7,0,0,0,2.536,2.5,1.058,0.291,1.015,0.302,,,,,,,
17.OCT.24,bios,7d,CUT-84,CUT-84_head,CUT-84_abdomen,group,7,1,NA,5,3,0,2.884,2.851,1.929,0.659,1.534,0.466,,,,,,,
17.OCT.24,bios,7d,CUT-85,CUT-85_head,CUT-85_abdomen,group,7,2,NA,5,3,0,2.622,2.645,1.573,0.608,1.921,0.702,,,,,,,
17.OCT.24,bios,7d,CUT-86,CUT-86_head,CUT-86_abdomen,group,7,3,NA,5,3,0,2.761,2.749,1.654,0.707,1.687,0.522,,,,,,,
17.OCT.24,bios,7d,CUT-87,CUT-87_head,CUT-87_abdomen,group,7,4,NA,5,3,0,2.699,2.685,1.787,0.763,1.853,0.662,,,,,,,
17.OCT.24,exile,7d,CUT-88,CUT-88_head,CUT-88_abdomen,iso,NA,NA,8,1,0,0,2.75,2.73,1.994,0.659,1.722,0.537,,,,,,,
17.OCT.24,exile,7d,CUT-89,CUT-89_head,CUT-89_abdomen,iso,NA,NA,9,0,0,0,2.689,2.704,0.902,0.352,1.192,0.364,,,,,,,
17.OCT.24,drago,7d,CUT-90,CUT-90_head,CUT-90_abdomen,group,3,1,NA,3,2,0,2.767,2.803,2.486,0.797,2.44,0.807,,,,,,,bees moved ball off dish
17.OCT.24,drago,7d,CUT-91,CUT-91_head,CUT-91_abdomen,group,3,2,NA,3,2,0,2.902,2.874,2.737,0.855,2.389,0.794,,,,,,,bees moved ball off dish
17.OCT.24,drago,7d,CUT-92,CUT-92_head,CUT-92_abdomen,group,3,3,NA,3,2,0,2.528,2.541,1.794,0.692,2.282,0.614,,,,,,,bees moved ball off dish
17.OCT.24,drago,7d,CUT-93,CUT-93_head,CUT-93_abdomen,group,3,4,NA,3,2,0,2.482,2.496,2.207,0.72,2.009,0.665,,,,,,,bees moved ball off dish
14.OCT/24,bios,NA,Q1,Q1_head,Q1_abdomen,NA,NA,NA,NA,NA,NA,NA,4.079,4.1,NA,NA,NA,NA,,,,,,,"no males, no gynes"
14.OCT.24,drago,NA,Q2,Q2_head,Q2_abdomen,NA,NA,NA,NA,NA,NA,NA,3.784,3.849,NA,NA,NA,NA,,,,,,,"no males, no gynes"
14.OCT.24,exile,NA,Q3,Q3_head,Q3_abdomen,NA,NA,NA,NA,NA,NA,NA,3.942,3.862,NA,NA,NA,NA,,,,,,,"no males, no gynes"
